title,body,category
forgot access card,tuesday forgot card hello please card today area visitors cards area borrowed thank best regards analyst ext,7
add on request has requested post for,add has requested post hi please thank engineer pm add has requested post hello users has requested install post instance said needed trigger build pull cheers marketplace received because turned marketplace manage marketplace,4
service now access for,hello please advised has logged side hold until further notice please log let user has created thanks best regards analyst tuesday hi please his level kind regards application engineer surrey surrey please consider environment printing regarded confidential received error please notify destroy immediately statements intent shall become binding confirmed hard copy by signatory contents relate dealings other companies under control details which found,4
time booking,booking hi please help extending date continue booking effort against thread thank pm re booking probably originally calendar hopefully extend investigate how done thanks booking booked experienced starting allocating code offer engagements rejected active task booking until feasible date task extended sorry bother,4
remove people from approval list,hello please advised logged side kindly log side let requested users out checklist thanks best regards analyst tuesday hi please persons checklist kind regards application engineer surrey surrey please consider environment printing regarded confidential received error please notify destroy immediately statements intent shall become binding confirmed hard copy by signatory contents relate dealings other companies under control details which found,4
admin rights for for,rights dear please provide rights he supporting part helping editing creating pages benefits learning location grateful communications,4
all access to service reports,reports hi guys please ensure has location exact provided other folders libraries site remain without modifications thank,4
change ms call closure surveys sending hour for and,change call closure surveys hello order increase call closure response rate pilot change monitor results survey clients reminders after since initial survey invite please note change implemented clients conditions remain same advise continue same after has finished revert changes greatly appreciate proceed weeks let require further information side best regards care,4
increase mailbox,mailbox almost hi super powers thank officer mailbox almost importance high mailbox almost mb mb size maximum size please reduce mailbox size delete items mailbox empty deleted items folder,4
need help setting up on,help setting hello please log she needs help setting her needs assigned thank profile,4
need to change outlook view to original settings,change view please log she needs help resetting her view needs assigned thank profile,4
new starter,hi please fill enclosed form colleague administration officer,4
access,tuesday hi please his level kind regards application engineer surrey surrey please consider environment printing regarded confidential received error please notify destroy immediately statements intent shall become binding confirmed hard copy by signatory contents relate dealings other companies under control details which found,4
visual studio license,re visual studio license hi please help visual studio license thank sincerely visual studio license hello updates issue license vs professional thank senior developer thursday pm visual studio license hello please provide license visual studio user thank senior developer registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability entity acts,5
approval list,tuesday hi please persons checklist kind regards application engineer surrey surrey please consider environment printing regarded confidential received error please notify destroy immediately statements intent shall become binding confirmed hard copy by signatory contents relate dealings other companies under control details which found,4
temporary instances for service restore exercise,instances restore exercise hi please provide location specs similar instances cores storage after fresh install required take snapshots both instances hesitate clarifications thanks senior engineer cell voice,6
wants to access testing,wants testing please thank accept decline requests,4
new folder,folder hi please help create shared folder dedicated within bid folders thanks users library containers library caches signatures signature users library containers library caches signatures signature users library containers library caches signatures signature users library containers library caches signatures signature,4
change end date,re hi please note date february please ensure his terminated cob thanks mobility officer december re thanks kind regards december re hi thank confirming updated kind regards tuesday december pm re hi contract has extended march please amendments made thanks kind regards october re thanks kind regards october re hi completion kind regards friday october pm hi please add contractor name job title consultant date october date friday december location entity kind regards,4
server for team,hello please advised edition remote role installed by rd party subcontractor connect currently remote licensing configured allow instant per device please advised possibility increase number more instant please log assign thank best regards senior engineer pm re has assigned hi please add more licenses thanks pm re has assigned hello let currently configured allow per device initial configuration order increase number licenses allow more separate logged order approvals please si log providing remote license increasing number thank best regards senior engineer,6
wants to access shareable content guidelines and tips,wants shareable content guidelines tips please user accept decline requests,4
laptop replacement,replacement hi currently years old battery dramatically reduced also quite heavy almost client site lighter options refreshing thanks senior architect,5
backups for service restore exercise,backups restore exercise hi restore latest backups files program files database backup important backups copy instances by myself validate scenario restoring existing backups hesitate questions regards senior engineer cell voice,4
the main menu springboards,main menu springboards hi setup springboard main dashboard few icons dashboards example how action share setup customized main menu item dashboard links myself create permission please host mins session work customization setup regards,4
changes oracle,re which pm hi please take myself remember made similar adjustment recently where adjusted certain expenditure items followed rules let further information please assign thanks re which pm thanks please make change which pm currently pm table charged against these suggest change rule charged these approved let agree thanks,4
clients to add,re clients add hi thank re doing fine well clients added visible tomorrow hi please log thank kind regards analyst clients add hi well writing kind add clients client name client marathon client name icon client tuition st rd kingdom thank help kind regards mobility officer ext,4
new purchase po,purchase po dear purchased tv black tv tv black tv please log allocation kind regards administrator,5
new purchase po,purchase po dear purchased requested by mouse sculpt mobile wireless rack please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,5
change name,change name hi please change name thank upcoming vacation,4
new purchase po,purchase po dear purchased please log allocation after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,5
new purchase po,purchase po dear purchased pro retina intel plus graphics kb item found please log allocation after item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,5
firth wants to access testing discipline,wants testing discipline hi please accept decline requests,4
delete time card,re almost card issue input needed resolved thank please delete card because holiday by mistake forgot code thank sorry technician,4
board,board hello please add individuals black regards,4
re send report to another user,re report user hi help hi please assign thank best regards engineer pm report user hi share reports created somebody moment unable find location shared folders where copy report other person copy si way br,4
new purchase po retrieve,purchase po dear purchased received items lite updated include device under user name link please add allocation device thanks please log retrieve old device after receive item please take consideration mandatory receipts section order receive item ordered how video link please make return old device back accessories left receive receipt number item needed processed receive old device take off user name kind regards administrator,5
new delivery,hello received item lite id please advise please log thank engineer,5
leaver centre,leaver form leave date location centre hello leaver form has filled by name leaving date location centre ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments needed tickets automatically logged best regards note mailbox receive messages,5
new pas unclear costs for project,unclear costs hello please let source attached costs december kind regards discipline lead,4
device recovery report paper at internal path,device recovery report path printer ready details copier ready details scanner ready details model name device name comment floor host name name print name file name printer name zone name name computer name share name device good notified,5
new staff to be added for,added hello please joiners added thank,4
notification change switch upgrade,change switch upgrade hi since change nearing kindly ask please out users expect outage during change period thank best regards engineer ext information confidential legally privileged intended solely addressee opinions expressed mine necessarily represent opinions susceptible interference intended recipient disclosure copying action taken omitted taken reliance strictly prohibited unlawful received error attachments please notify delete accepts responsibility information errors omissions misuse act committed omitted communication doubt please verify authenticity contents please rely own virus checkers responsibility taken by damage rising out virus infection registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability entity acts omissions,6
new starter republic of macedonia kale building,starter form induction hi please assist completion attached return form empty part thank,4
second floor assign extension pin allocate extension to meeting room,re second floor assign extension pin has assigned hello please give extension number second floor order best regards senior engineer,4
access mills,hi had training unable please help best regards specialist users library containers library caches signatures signature,4
mailbox,mailbox hello please provide mailbox thank kind regards,4
security request,dear please create bellow assignment groups well lists queue owner add snow assignment well thanks kind regards,4
reserve for the server en net,reserve hi please reserve prevent changing after reboot down thanks best regards engineer,6
please access to wireless network,needs environment via wired has granted wireless approved by,5
access,hi please involved bid lead regards lead,4
wants to access account documentation,wants documentation upload proof taking mandatory trainings accept decline requests,4
new purchase po,purchase po dear purchased lite updated include devices under user name please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,5
bucharest replacement for the protection case screen protection foil for phone,replacement protection screen protection foil phone hello replacement protection screen protection foil phone old broken thank head,5
not generated because of user being inactive,please investigation seems records were because user locked out opened order investigate possibility avoid issues raised by locked users reach,4
performance testing environment,performance testing environment hi proof concept performance testing environment machines configured run stress testing session where reasons cannot machines machines machines never mode static each important once machines how connect machines remote rights install run rights least user port port since running remotely ports after configurations done want rack floor by mobile hive owner his possible want connected cables rack best regards test consultant logo logo,5
end date keys,hi key date has confirmed friday february please amendments made kind regards,4
redirect leaver form for,reminder leaver hello please reassign leaver form thank reminder leaver thanks coordinator saturday reminder leaver dear please submit leaver form found messages requests note mailbox receive messages,4
add all to security,add hello please add please keep same other details thank kind regards analyst,4
submit your time cards for approval,please action submit cards good morning status entries period status error kindly these entries enter again thanks great best regards developer please action submit cards dear receiving because cards haven submitted please note enough enter also make submit take corrective actions submitted card gets rejected breakdown submitted cards please submit accordingly possible country submitted cards card status error total submitted cards submitted cards statuses explained error usually happens log calendar view period than days then delete which causes timecard switch error fix add back deleted delete entire timecard right hand side menu recreate again rejected card rejected by approvers please card entries accordingly resubmit entered status timecard few days entire timecard entered saved cards status has passed entered validation gone next submission step card issues resolve please wait corresponding resolutions,4
password reset,expire days dear please please help resetting details thank software developer id image date pm expire days guys keep getting prompted change kind regards date saturday expire days dear expire days order change please follow steps prerequisites disable device credentials close active connected by cable machine note also follow steps detailed press ctrl alt delete same pops change item enter format enter enter newly chosen then re enter again submit displaying has changed os machine browse enter format enter gear icon top tight browser window enter enter newly chosen then re enter again save connected note complete resources granted once connected by cable browse tick want change after logging enter format enter log enter enter newly chosen then re enter again change clients suppliers about expire please touch person then communicate back encounter issues hesitate by accessing yours registered wales under registration number registered fax information contained communication intended named contain legally privileged confidential information intended recipient must copy distribute take action reliance received communication error please notify immediately by isles return by,4
rights to,rights hi please rights thankyou,6
issue with timecard,issue timecard hello help timecard days were public holiday rest had holiday period because sheet has days split holiday periods update thank analyst developer,4
extension contractor,re extension contractor friday working please amend date mindful future thanks mobility officer re extension contractor hi thank confirming extended date kind regards thursday pm extension contractor hi please extend until please note his extend date yet confirmed once please update again thanks kind regards mobility officer,4
oracle security audit revoke roles permissions,hi please log assign please investigate revoke role user best regards analyst pm dear lead receiving report part established weekly process please review report thorough identify unapproved role assignment outstanding please investigate circumstances event report incidents must recorded confluence activity since role name activity type name date assigned assigned by days revoke specialist salary revoked application administrator granted report role name description name date assigned assigned by application consultant manages wide implementations collaborates application administrators implement consistent application setup architecture information rules has setup tasks across products fin user fin user fin user fin user user fin user fin user setup user setup setup fin user fin user framework application manages monitors offerings options features assigns resources tasks fin user fin user fin user fin user user fin user fin user setup user setup fin user fin user framework compensation administrator manages administration compensation objects batch processes fin user setup fin user corporate card administrator oversees functioning corporate card programs card programs provides cardholders assures made timely delinquencies incurred fin user fin user contract administrator works teams author contracts tracks critical contract milestones level agreements assists teams during contract renewals amendments framework fin user user scheduled fin user application administrator application administrator fin user setup fin user specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist salary specialist view salary specialist view salary contract administrator performs duties both contract administrator supplier contract administrator fin user fin user application administrator manages application administration collaborates application users maintain consistent application setup rules fin user fin user fin user user implement fin user fin user fin user functional setups user uses functional user overview assigned tasks task lists role inherits functional setups duty job role maintains relationship role role addresses dependency issues directly inherited by product job duty role fin user setup fin user fin user application administrator view application administrator view user implement setup human application administrator human resources application has duty roles implement compensation offerings fin user user implement setup protects assets information networks fin user fin user fin user fin user user fin user framework framework setup fin user fin user application administrator administers installation application model fin user fin user fin user fin user fin user administrator assists running responds employees questions concerning run various processes print out statement earnings reconcile charges reconcile sheets verify items verify results setup application administrator responsible technical aspects keeping available well configuring meet needs fin user fin user user implement fin user fin user fin user application administrator collaborates application users maintain consistent application configuration rules user fin,4
request monitor and keyboard,monitor keyboard hi monitor keyboard possible regards software tester,5
tickets for absence awaiting for approval,tickets absence awaiting hi wondering maybe tickets annual special leave awaiting since also accepted since out requests thank sincerely senior tester,4
access,dear please help granting reports personnel export employees details report coordinators thank wonderful specialist,4
access required please,required please hi please folder share information about bid answers libraries bid bids history view bb thanks mob zone,4
leaver center,leaver form leave date location center hello leaver form has filled by name leaving date location center ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments needed tickets automatically logged best regards note mailbox receive messages,4
new gadgets video,re gadgets has assigned queue hello guys please split other two separate tickets peripherals video kind regards engineer ext,5
urgent laptop required,urgent required dear client coming visit visitors has requested work he arriving tuesday wednesday morning until friday arranged kind regards,5
wants to access reporting,wants pm governance other tabs accept decline requests,4
password reset,contacted via phone,4
direct line request,dear please provide require please kind regards,4
new starter republic of macedonia kale building,re starter form induction hi please disregard kind regards starter form induction hi please assist completion attached return form empty part thank,4
new starter return from maternity belgrade belgrade,return maternity leave hello please find attached she return maternity leave thursday st february thank administrator,4
create new repository into project,create repository hello guys ask create repository under name also administrator repository thanks great,4
rules modernization black duck integration,rules duck hello integrate rules modernization order user rights create add logic both code review analysis please provide rights tested found user nothing more looking forward regards,5
amp installation,license expiration hi work install software myself thanks kind regards senior infrastructure engineer infrastructure mob pm license expiration hello everyone reported after receiving client installed locally machines license expired today currently deploying amp replacement meanwhile assets continue protected by difference download install updates device owner please follow instructions by past few days how install amp location require further information assistance please kind regards ext,5
device alert notification paper at internal path th floor,device path printer details output copier details output scanner ready details model name device name comment floor host name name print name file name printer name zone name name computer name share name device good notified,4
annual leave,se ca,4
all sales,hi guys please add receive communicated too thank,4
increase mailbox size,increase mailbox size hi possible please increase mailbox size constantly running out frequently receive large design files cheers head digital,4
close access to secured area et to,close secured area dear please close secured area tower colleague rotating thank regards officer,7
new starter belgrade,rd hello colleague joining rd please find attached regards officer,4
guest password,guest hi please arrange receive guest weekly bases because scheduled task thank best regards monitoring engineer,4
card related with,re card hello la el va lucre la merci,11
staff access control cards,control cards dear plan transition colleagues over kindly help badge ids excel spreadsheet fine contains colleagues name allocated card number re bit short accommodate by thanks kind regards officer,4
password reset external contact,please help confluence si saved conversation conversations tab conversation history folder,4
retroactive annual leave,please action submit cards hello withdrawn past annual leave period action has become invalid received tried reenter canceled annual leave mentioned did let submit date annual leave past actions taken resolve query thanks tester please action submit cards dear receiving because cards haven submitted please note enough enter also make submit take corrective actions submitted card gets rejected breakdown submitted cards please submit accordingly possible country submitted cards card status entered total submitted cards submitted cards statuses explained error usually happens log calendar view period than days then delete which causes timecard switch error fix add back deleted delete entire timecard right hand side menu recreate again rejected card rejected by approvers please card entries accordingly resubmit entered status timecard few days entire timecard entered saved cards status has passed entered validation gone next submission step card issues resolve please wait corresponding resolutions,4
unable to submit december time card,please action submit cards hello seems complete december help developer please action submit cards dear receiving because cards haven submitted please note enough enter also make submit take corrective actions submitted card gets rejected breakdown submitted cards please submit accordingly possible country submitted cards card status entered total submitted cards submitted cards statuses explained error usually happens log calendar view period than days then delete which causes timecard switch error fix add back deleted delete entire timecard right hand side menu recreate again rejected card rejected by approvers please card entries accordingly resubmit entered status timecard few days entire timecard entered saved cards status has passed entered validation gone next submission step card issues resolve please wait corresponding resolutions,4
creating the test users on the environment,creating testing users different rights environment,4
non starter new,re date updates dear please advised joining thank lead re date updates importance high dear please note date has pushed back he starting exact date more information let thank lead tuesday pm re starter form complete section completed dear complete document section completed remains unchanged thank lead tuesday starter form complete dear please help completed form joining ny thank lead,4
new purchase po,purchase po dear purchased monitor please log allocation after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,5
sow update,sow update hi please help update parent cs contract sow link va deal possible important solved asap today reports extracted contract has impact contract million after change order book remain zero thanks officer,4
missing time cards notification,please action submit cards good morning regularly old card submission possible please stop more thanks please action submit cards dear receiving because cards haven submitted please note enough enter also make submit take corrective actions submitted card gets rejected breakdown submitted cards please submit accordingly possible country submitted cards card status legacy saved total submitted cards submitted cards statuses explained error usually happens log calendar view period than days then delete which causes timecard switch error fix add back deleted delete entire timecard right hand side menu recreate again rejected card rejected by approvers please card entries accordingly resubmit entered status timecard few days entire timecard entered saved cards status has passed entered validation gone next submission step card issues resolve please wait corresponding resolutions,4
editing access,hello please editing level today level seems,4
wireless network,wireless hi job resets then sends out automatic myself good received please change received thanks,6
service now license,snow license hi guys please kindly snow license contracts area she working requires license order perform activities thanks kind regards,4
badge,badge hello please help regarding issue morning work enter floor door badge certain period please enlarge period come morning around thank much best regards ledger street center,11
device recovery report original at document feeder,device recovery report document feeder printer details tray tray copier details tray tray scanner ready details model name device name comment floor host name name print name file name printer name zone name name computer name share name device good notified,4
need a new phone,phone hi phone charging tried everything booted safe mode did soft changed cables nothing has worked had enough perform factory arrange handset please deliver dept floor canada square require old handset back regards,4
tool instance,tool instance hi please log under name assign queue regards friday pm re tool instance hey yeas please date until po cheers senior re tool instance hey please make log machine required change date machine date estimated date let update instance cheers friday pm re tool instance hi develop colombia progress more information let cheers senior tool instance importance high hello please let instance name tool type medium kind regards leader,4
